Mitigation_ID,Action Name,Action Definition,MitigationCode
179,Risk Thresholds,"Quantitative or qualitative limits that distinguish acceptable from unacceptable risks and trigger specific risk management actions when exceeded. Risk thresholds for general- purpose AI are being determined by a combination of assessments of capabilities, impact, compute, reach, and other factors.",1.5 Safety Decision Frameworks
180,Establish content safety policy and boundaries,"Define and document comprehensive content safety policies, including prohibited content categories, acceptable content guidelines, output constraints, and required safeguards. Establish clear thresholds, classification criteria, and escalation levels for different types of harmful content. Include specific criteria for content that could enable or promote malicious use.",1.5 Safety Decision Frameworks
181,Establish frontier AI safety framework,"Establish and enforce policies governing system AI scaling decisions, including risk assessment requirements, capability thresholds, and deployment constraints. Define clear criteria for when and how system capabilities can be expanded based on safety considerations.",1.5 Safety Decision Frameworks
182,Establish human-AI interaction safety framework,"Implement comprehensive safeguards to ensure appropriate levels of human oversight, control, and agency in AI system interactions, including decision autonomy requirements, override capabilities, and dependency prevention measures.",1.5 Safety Decision Frameworks
183,Establish responsible development and deployment policy,"Establish policies and procedures governing AI system development and deployment decisions that consider societal implications, including competitive pressures, governance gaps, and benefit distribution.",1.5 Safety Decision Frameworks
184,Fine-Tuning Access Threshold,"Has your firm set a risk or capabilities threshold beyond which access to model fine-tuning should be restricted to prevent harm to the public? If yes, please elaborate on the threshold.",1.5 Safety Decision Frameworks
185,Public Risk Threshold for Deployment,"Has your organization publicly specified an evaluations-based risk or capabilities threshold that would cause the firm not to deploy a model and to pause further development until it can implement adequate risk mitigation? If yes, please provide a URL to the website specifying these commitments.",1.5 Safety Decision Frameworks
186,Safety research,We report whether the company seriously engages in research dedicated to ensuring the safety and control/alignment of ever more advanced future AI models. We report the amount of publications and research directions.,1.5 Safety Decision Frameworks
187,Avoid Capabilities Jumps,AGI labs should not deploy models that are much more capable than any existing models.*,1.5 Safety Decision Frameworks
188,Gradual scaling,AGI labs should only gradually increase the amount of compute used for their largest training runs.,1.5 Safety Decision Frameworks
189,No unsafe open-sourcing,"AGI labs should not open-source powerful models, unless they can demonstrate that it is sufficiently safe to do so.",1.5 Safety Decision Frameworks
190,Pausing Training of Dangerous Models,AGI labs should pause the development process if sufficiently dangerous capabilities are detected.,1.5 Safety Decision Frameworks
191,Safety vs. capabilities,A significant fraction of employees of AGI labs should work on enhancing model safety and alignment rather than capabilities.,1.5 Safety Decision Frameworks
192,Implement a written safe and security plan (SSP),"This bill would enact the Safe and Secure Innovation for Frontier Artificial Intelligence Models Act to, among other things, require that a developer, before beginning to initially train a covered model, as defined, comply with various requirements, including implementing the capability to promptly enact a full shutdown, as defined, and implement a written and separate safety and security protocol, as specified. (3) Implement a written and separate safety and security protocol that does all of the following: (A) Specifies protections and procedures that, if successfully implemented, would successfully comply with the developer’s duty to take reasonable care to avoid producing a covered model or covered model derivative that poses an unreasonable risk of causing or materially enabling a critical harm. (B) States compliance requirements in an objective manner and with sufficient detail and specificity to allow the developer or a third party to readily ascertain whether the requirements of the safety and security protocol have been followed. (C) Identifies a testing procedure, which takes safeguards into account as appropriate, that takes reasonable care to evaluate if both of the following are true: (i) A covered model poses an unreasonable risk of causing or enabling a critical harm. (ii) Covered model derivatives pose an unreasonable risk of causing or enabling a critical harm. (D) Describes in detail how the testing procedure assesses the risks associated with post-training modifications.",1.5 Safety Decision Frameworks
193,Safety and Security Framework,"Signatories commit to adopting and implementing a Safety and Security Framework that will: (1) apply to their GPAISRs (general-purpose AI models with systemic risk); and (2) detail the systemic risk assessment, systemic risk mitigation, and governance risk mitigation measures and procedures that they intend to adopt to keep systemic risks stemming from their GPAISRs within acceptable levels.",1.5 Safety Decision Frameworks
194,Modeling of the risks,"Based on risks identified in the literature and during open-ended red-teaming exercises, AI developers should create detailed scenarios mapping how an AI model’s capabilities or propensities could lead to real-world harms. These scenarios should break down complex risk pathways into discrete, measurable steps.",1.5 Safety Decision Frameworks
195,Risk Tolerance Threshold,"In the second step of the framework, AI developers need first to set a risk tolerance, that is, a risk level that they commit to not overshoot.",1.5 Safety Decision Frameworks
196,Operationalizing Risk Tolerance,AI developers must operationalize their risk tolerance. This means translating the risk tolerance into concrete indicators of the level of risk—Key Risk Indicators (KRIs)—and the corresponding targets for mitigations—Key Control Indicators (KCIs)—that have to be reached.,1.5 Safety Decision Frameworks
197,Decision-Making Protocols,Senior management should have clear go/no-go decision protocols and rules to follow in their decision-making…,1.5 Safety Decision Frameworks
198,Performance Threshold Standards,"Establish minimum thresholds for performance or assurance criteria and review as part of deployment approval (""go/""no-go"") policies, procedures, and processes, with reviewed processes and approval thresholds reflecting measurement of GAI capabilities and risks.",1.5 Safety Decision Frameworks
199,Development Halt Plan,Devise a plan to halt development or deployment of a GAI system that poses unacceptable negative risk.,1.5 Safety Decision Frameworks
200,Third-Party Risk,"Policies and procedures are in place that address AI risks associated with third-party entities, including risks of infringement of a third-party’s intellectual property or other rights.",1.5 Safety Decision Frameworks
201,Determine Deployment Readiness,A determination is made as to whether the AI system achieves its intended purposes and stated objectives and whether its development or deployment should proceed.,1.5 Safety Decision Frameworks
202,Information Security,Establish and regularly review specific criteria that warrants the deactivation of GAI systems in accordance with set risk tolerances and appetites.,1.5 Safety Decision Frameworks
203,CBRN Information or Capabilities; Confabulation,Use organizational risk tolerance to evaluate acceptable risks and performance metrics and decommission or retrain pre-trained models that perform outside of defined limits.,1.5 Safety Decision Frameworks
204,Development Constrained by Risk Thresholds,"At each risk threshold, proactively commit to only proceed with certain development or deployment steps if specific mitigations are in place. Such mitigations could include many of the practices outlined in this document.",1.5 Safety Decision Frameworks
205,Pause of Training Runs,"Prepare to pause training runs or reduce access to deployed models, if risk thresholds are reached without the committed risk mitigations being in place. This may involve warning existing customers that access reductions are a possibility and creating contingency plans to minimise negative impacts on customer use.",1.5 Safety Decision Frameworks
206,Response Processes for Evaluation Results,"Ensure processes are in place to respond to evaluation results. Evaluations are a necessary input to a responsible capability scaling policy which, depending on the results of the evaluation, would probably require implementation of practices outlined in other sections of this document such as preventing model misuse, information sharing and other risk mitigation measures.",1.5 Safety Decision Frameworks
207,Defense Tool Availability Before system release,"The larger the risk is and the more effective tools may be, the more important it is to prepare defensive tools ahead of time. It may be important to delay system releases until appropriate defensive tools are ready.",1.5 Safety Decision Frameworks
209,Implement environmental impact management system,"Implement comprehensive environmental impact monitoring and optimization procedures, including energy efficiency measures, carbon footprint tracking, and hardware lifecycle management.",1.6 Environmental Impact Management
210,Carbon emission analyses and offsets,Information about carbon emission analyses and offsets.,1.6 Environmental Impact Management
211,Carbon footprint assessment,The development and deployment of the largest AI models use vast amounts of energy and resources. Does your organization rigorously assess its carbon footprint?,1.6 Environmental Impact Management
212,Offsetting of carbon footprint,Does your organization fully offset its carbon footprint by donating to projects that capture or reduce carbon emissions?,1.6 Environmental Impact Management
213,Assess Environmental Impact,Environmental impact and sustainability of AI model training and management activities – as identified in the Map function – are assessed and documented.,1.6 Environmental Impact Management
214,Environmental Degradation Minimisation,"Document anticipated environmental impacts of model development, maintenance, and deployment in product design decisions.",1.6 Environmental Impact Management
215,Environmental Impact Assessment,"Measure or estimate environmental impacts (e.g., energy and water consumption) for training, fine tuning, and deploying models: Verify tradeoffs between resources used at inference time versus additional resources required at training time.",1.6 Environmental Impact Management
216,Effectiveness of Carbon Capture,"Verify effectiveness of carbon capture or offset programs for GAI training and applications, and address green-washing concerns.",1.6 Environmental Impact Management
217,More energy-efficient models or techniques,"Deploying more energy-efficient models can reduce their environmental impact. Different model architectural choices result in varying environmental costs, and identifying and adopting more energy-efficient options can result in significant environmental savings, especially when implemented at scale. Consideration should be given to both training energy usage, and deployment (“inference”) usage for the expected model lifecycle.",1.6 Environmental Impact Management
218,Disclosure of energy consumption by AI systems to authorities,"Disclosures can direct more necessary attention and scrutiny to projects that consume significant energy. Disclosure involves releasing a summary of key details of the energy consumption of the AI system by all users, including the compute resources used, the amount of power consumed, the measures to reduce excess energy consumption that were in place, and energy sources [133].",1.6 Environmental Impact Management
219,Using low carbon intensity energy grids,"Moving model training to energy grids with low carbon intensity can reduce the negative environmental impact [30]. The efficiency of energy grids can vary greatly depending on location. Models can be trained in different locations, as latency is not an issue.",1.6 Environmental Impact Management
220,Engagement with Relevant Experts and Communities,"Domain experts, users, and impacted communities have unique insights into likely risks. There are emerging guidelines for participatory and inclusive AI.",1.7 Societal Impact Assessment
221,Impact Assessment,A tool used to assess the potential impacts of a technology or project. The EU AI Act requires developers of high- risk AI systems to carry out Fundamental Rights Impact Assessments.,1.7 Societal Impact Assessment
222,Safety by Design,An approach that centres user safety in the design and development of products and services. This approach is common across engineering and safety- critical fields including aviation and energy.,1.7 Societal Impact Assessment
223,Plans to minimize risks to society,"Developers can be required to produce a report on risks (Slattery et al., 2024) posed by their frontier systems and risk mitigation practices that they are taking to reduce them.",1.7 Societal Impact Assessment
224,Implement psychological impact management system,"Establish monitoring and intervention procedures to detect and prevent unhealthy user-AI relationships, including emotional dependency tracking, interaction boundary enforcement, and well-being safeguards.",1.7 Societal Impact Assessment
225,Establish societal impact assessment framework,"Implement comprehensive processes for assessing and documenting potential societal impacts of AI systems, including effects on employment, economic systems, power dynamics, and cultural value. Include stakeholder consultation and impact mitigation planning.",1.7 Societal Impact Assessment
226,Expert Consultation on Societal Risks,"Has your organization consulted with top-level domain experts to assess whether your most capable models increase societal risks across the following domains? Risks from biological weapons Risks from autonomy (e.g., self-replication, deception) Risks from cyber attacks Risks from chemical weapons Risks from manipulation and political influence Risks from systematic discrimination against marginalized groups",1.7 Societal Impact Assessment
227,Fundamental Rights Impact Assessments,Is your organization conducting fundamental rights impact assessments that seek input from a diverse group of external stakeholders who are impacted by your organization’s AI systems?,1.7 Societal Impact Assessment
228,Stakeholder Input Collection,"Obtain input from stakeholder communities to identify unacceptable use, in accordance with activities in the AI RMF Map function.",1.7 Societal Impact Assessment
229,Actor Inclusion in Risk ID,Include relevant AI Actors in the GAI system risk identification process.,1.7 Societal Impact Assessment
230,Joint Educational Activities,Conduct joint educational activities and events in collaboration with third parties to promote best practices for managing GAI risks.,1.7 Societal Impact Assessment
231,Purpose Identification Factors,"When identifying intended purposes, consider factors such as internal vs. external use, narrow vs. broad application scope, fine-tuning, and varieties of data sources (e.g., grounding, retrieval-augmented generation).",1.7 Societal Impact Assessment
232,Context of Use Documentation,"Determine and document the expected and acceptable GAI system context of use in collaboration with socio-cultural and other domain experts, by assessing: Assumptions and limitations; Direct value to the organization; Intended operational environment and observed usage patterns; Potential positive and negative impacts to individuals, public safety, groups, communities, organizations, democratic institutions, and the physical environment; Social norms and expectations.",1.7 Societal Impact Assessment
233,Interest Group Definition,"Define relevant groups of interest (e.g., demographic groups, subject matter experts, experience with GAI technology) within the context of use as part of plans for gathering structured public feedback.",1.7 Societal Impact Assessment
234,Value Chain Wellbeing Assessment,"Assess adverse impacts, including health and wellbeing impacts for value chain or other AI Actors that are exposed to sexually explicit, offensive, or violent information during GAI training and maintenance.",1.7 Societal Impact Assessment
235,End-User Expectation Engagement,Engage directly with end-users and other stakeholders to understand their expectations and concerns regarding content provenance. Use this feedback to guide the design of provenance data-tracking techniques.,1.7 Societal Impact Assessment
236,Anticipate Misuse & Impact,"Identify reasonably foreseeable uses, and misuses or abuses for a GPAIS (e.g, auto- mated generation of toxic or illegal content or disinformation, or aiding with proliferation of cyber, chemical, biological, or radiological weapons), and identify reasonably foreseeable potential impacts (e.g., to fundamental rights)",1.7 Societal Impact Assessment
237,External Feedback on Impacts,"Organizational policies and practices are in place to collect, consider, prioritize, and integrate feedback from those external to the team that developed or deployed the AI system regarding the potential individual and societal impacts related to AI risks.",1.7 Societal Impact Assessment
238,Assessments for Environmental; Harmful Bias and Homogenization,"Identify the classes of individuals, groups, or environmental ecosystems which might be impacted by GAI systems through direct engagement with potentially impacted communities.",1.7 Societal Impact Assessment
239,"Dangerous, Violent, or Hateful Content Mitigation",Assess safety to physical environments when deploying GAI systems,1.7 Societal Impact Assessment
240,Harmful Bias and Homogenization Assessments,"Conduct impact assessments on how AI-generated content might affect different social, economic, and cultural groups.",1.7 Societal Impact Assessment
241,Human-AI Configuration; Information Integrity Studies,Conduct studies to understand how end users perceive and interact with GAI content and accompanying content provenance within context of use. Assess whether the content aligns with their expectations and how they may act upon the information presented.,1.7 Societal Impact Assessment
242,Human-AI Configuration,"Use feedback from internal and external AI Actors, users, individuals, and communities, to assess impact of AI-generated content. (AI Deployment, AI Impact Assessment, Governance and Oversight, Operation and Monitoring).",1.7 Societal Impact Assessment
243,Human-AI Configuration,"Evaluate the use of sentiment analysis to gauge user sentiment regarding GAI content performance and impact, and work in collaboration with AI Actors experienced in user research and experience.",1.7 Societal Impact Assessment
244,Societal Impact Research,"Study the societal impacts of AI systems they have deployed, particularly by collaborating with external researchers, independent research organisations, and third party data owners. By collaborating and joining their data with that of third parties, such as internet platforms, frontier AI organisations can assess the impacts of their AI systems. Privacy-enhancing technologies could be employed to enable data sharing between frontier AI organisations, third parties, and external researchers while protecting confidential information. As well as data, frontier AI organisations could also facilitate research on the societal impacts of their AI systems by providing access to the necessary infrastructure and compute.",1.7 Societal Impact Assessment
246,Societal Impact Informed Risk Assessments,"Use assessments of downstream societal impacts to inform and corroborate risk assessments. Downstream societal impacts, such as threats to democracy, widespread unemployment, and environmental impacts, could be considered in risk assessments of AI systems, alongside more direct risks. See the Responsible Capability Scaling section for more information on good practices for risk assessment.",1.7 Societal Impact Assessment
247,Assessment of Safeguard Costs for Users,"Regularly assess the costs of safeguards to users, including bias and loss of privacy, as well as restrictions on users’ freedom to discuss sensitive topics with AI agents in appropriate contexts. This may involve, for instance, estimating the false positive rates of filters by sampling blocked inputs and outputs; comparing the capabilities, efficiency, and user ratings of models that lack certain safeguards against models that have the safeguards in place; and conducting user interviews to understand how concerned informed users are about losses in privacy and the emergence of biases in algorithmically filtered content.",1.7 Societal Impact Assessment
248,Trustworthy AI practices,"The characteristics of trustworthy AI are integrated into organizational policies, processes, procedures, and practices.",1.X Governance & Oversight Control not otherwise categorized
249,Safety-First Culture,"Organizational policies and practices are in place to foster a critical thinking and safety- first mindset in the design, development, deployment, and uses of AI systems to minimize potential negative impacts.",1.X Governance & Oversight Control not otherwise categorized
250,Security measures,"Given the challenges of securing model weights and the hazards of leaks (Nevo et al., 2024), frontier developers can be required to document high-level noncompromising information about their security measures (e.g., Anthropic, 2024).",2.1 Model & Infrastructure Security
251,Implement AI asset protection framework,"Deploy technical protection measures including encryption, secure enclaves, and versioning controls for AI models and associated data.",2.1 Model & Infrastructure Security
252,Establish security validation framework,"Execute comprehensive pre-deployment security validation including AI-specific vulnerability assessments, penetration testing, and security requirement verification.",2.1 Model & Infrastructure Security
253,Implement continuous security testing system,"Deploy ongoing security testing mechanisms including automated vulnerability scanning, continuous security monitoring, and periodic reassessment of security controls.",2.1 Model & Infrastructure Security
254,Implement AI security defense system,"Deploy active defense mechanisms combining continuous security monitoring, input validation, adversarial detection, and adaptive response capabilities specific to AI systems.",2.1 Model & Infrastructure Security
255,"Compliance certification with ISO, SOC, HIPAA","This involves obtaining formal certification from recognized bodies demonstrating that AI systems and their underlying infrastructure meet stringent industry and regulatory standards for security, privacy, and quality.",2.1 Model & Infrastructure Security
256,Mandatory security controls,- Use of password managers - Physical security keys - Compliance monitoring software for software updates - Multifactor authentification on all platforms - Regular cybersecurity training,2.1 Model & Infrastructure Security
257,Physical security controls,Please indicate whether your organization implements the following physical security controls. Please specify further whether they are implemented at all staff locations or more sparsely - Offices guarded by physical security teams - Comprehensive access logging for premises - Office entrances monitored by security cameras - Office access controlled via key cards implementing least access priviledge,2.1 Model & Infrastructure Security
258,Require security clearances and have private investigators conduct security checks,Does your organization defend against insider threats by requiring security clearances or by having private investigators conduct background checks? Please select which interventions are applied when hiring or appointing individuals for the groups listed below. - Members of the board of directors - All staff with access to model weights - Certain key employees - All Staff,2.1 Model & Infrastructure Security
259,Military-grade information security,"The information security of AGI labs should be proportional to the capabilities of their models, eventually matching or exceeding that of intelligence agencies (e.g. sufficient to defend against nation states).",2.1 Model & Infrastructure Security
260,Protection against espionage,AGI labs should take adequate measures to tackle the risk of state-sponsored or industrial espionage.*,2.1 Model & Infrastructure Security
262,Tracking model weights,AGI labs should have a system that is intended to track all copies of the weights of powerful models.*,2.1 Model & Infrastructure Security
263,Cybersecurity protocols to prevent the model from being unintentionally stolen,"Implement reasonable administrative, technical, and physical cybersecurity protections to prevent unauthorized access to, misuse of, or unsafe post-training modifications of, the covered model and all covered model derivatives controlled by the developer that are appropriate in light of the risks associated with the covered model, including from advanced persistent threats or other sophisticated actors.",2.1 Model & Infrastructure Security
264,Security mitigations,"Signatories commit to implementing state-of-the-art security mitigations designed to thwart such unauthorised access by well-resourced and motivated non-state-level adversaries, including insider threats from humans or AI systems, so as to meet at least the RAND SL3 security goal or equivalent, and achieve higher security goals (e.g., RAND SL4 or SL5)",2.1 Model & Infrastructure Security
265,Architecture Monitoring Verification,"Verify that GAI system architecture can monitor outputs and performance, and handle, recover from, and repair errors when security anomalies, threats and impacts are detected.",2.1 Model & Infrastructure Security
266,Security Vulnerability Assessment,"Apply established security measures to: Assess likelihood and magnitude of vulnerabilities and threats such as backdoors, compromised dependencies, data breaches, eavesdropping, man-in-the-middle attacks, reverse engineering, autonomous agents, model theft or exposure of model weights, AI inference, bypass, extraction, and other baseline security concerns.",2.1 Model & Infrastructure Security
267,Security Effectiveness Metrics,"Identify metrics that reflect the effectiveness of security measures, such as data provenance, the number of unauthorized access attempts, inference, bypass, extraction, penetrations, or provenance verification.",2.1 Model & Infrastructure Security
268,Evaluate Security & Resilience,AI system security and resilience – as identified in the Map function – are evaluated and documented.,2.1 Model & Infrastructure Security
269,Application of Infrastructure Principles,Apply good infrastructure principles to every part of this process from design to decommissioning. This is important as threats can occur at different stages of an AI project’s life cycle.,2.1 Model & Infrastructure Security
270,Regular Assessment of Supply Chain Security,"Regularly assess the security of their supply chains and ensure suppliers adhere to the same standards their own organisation applies. Ensuring data, software components and hardware are obtained from trusted sources will help mitigate supply chain risk.",2.1 Model & Infrastructure Security
271,Tracking Tools for Security and Version Control Assets,"Have processes and tools to track, authenticate, secure and version control assets and be able to roll back to a known safe state in the event of a compromise. This is important as data and models do not remain static during the whole lifespan of an AI project.",2.1 Model & Infrastructure Security
272,Default Integration of Secure Settings,"Integrate the most secure settings within your products by default. Where configuration is necessary, default options should be broadly secure against common threats.",2.1 Model & Infrastructure Security
273,Default Necessary Security Updates,"Ensure necessary security updates are a default part of every product and use secure, modular update procedures to distribute them. This will help your products remain secure in the face of new and developing threats.",2.1 Model & Infrastructure Security
274,Suitable Level of Screening,"Apply a suitable level of screening, informed by a role-based risk assessment, to all individuals who are provided access to organisational assets including permanent, temporary and contract workers.",2.1 Model & Infrastructure Security
275,Privacy Research,Improving our ability to address the privacy risks associated with AI systems,2.1 Model & Infrastructure Security
276,Cybersecurity Research,Improving our ability to ensure the security of AI systems,2.1 Model & Infrastructure Security
277,Criminality Research,"Improving our ability to prevent criminal behaviour through the use of AI systems (e.g. fraud, online child sexual abuse)",2.1 Model & Infrastructure Security
278,"Discretion for Development, Storage, and Sharing of Content Filters","Exercise appropriate caution when developing, storing, or sharing content filters – and any specialised datasets used to produce them. In some cases, components of filters or datasets used to create them can be used to train higher-risk models. For instance, a classifier that evaluates the aggressiveness of a model’s outputs may be used to train the model to be more aggressive.",2.1 Model & Infrastructure Security
279,Protect proprietary or unreleased AI model ar- chitecture and parameters,"The developers of AI models can invest in cybersecurity to prevent compute re- sources, training source code, model weights, and other critical resources from being accessed and copied by unauthorized third parties (e.g., through insider threats or supply chain attacks). Access to model source code and weights can be restricted through an access control scheme, such as role-based access control. If access to model outputs by third parties is required, it can be provided through an API. Air gaps can block unauthorized remote access. In the case of necessary interaction with an external network, network bandwidth limitations can also be enforced to increase the detection window of potential breaches [108].",2.1 Model & Infrastructure Security
280,Hardware limitations on data center network connections,"Hardware-enforced bandwidth limitations on data center network connections can protect AI model weights from unauthorized access or exfiltration, by lim- iting the speed of model weight access on the connections between data centers and the outside world. Such limitations can be put in place in multiple ways, for example by only constructing connections with a specific bandwidth. The output rate on all data channels can be set low enough that copying the weights is possible in principle (e.g., to enable regular backups), but would take so long that an unauthorized exfiltration of the weights could be detected and prevented. Such rate-limiting is only effective if it applies to all output connections for all storage locations on which the weights of the model are stored [139].",2.1 Model & Infrastructure Security
281,Advanced information security,Implementing advanced cybersecurity measures and insider threat safeguards to protect proprietary and unreleased model weights.,2.1 Model & Infrastructure Security
282,Implement AI alignment validation system,"Establish processes for validating and maintaining AI system alignment with human values and goals, including testing for goal preservation, monitoring for objective drift, and validation of decision-making processes against ethical standards. Includes specific attention to detecting and preventing potentially misaligned behaviors, emergent goals, or deceptive actions. Covers using interpretability techniques to measure and assure alignment with intended goals.",2.2 Model Alignment
283,Alignment Techniques,AGI labs should implement state-of-the-art safety and alignment techniques.,2.2 Model Alignment
284,Interpretability and Explainability Research,Improving our ability to understand the inner functioning of AI systems and explain their behaviour,2.2 Model Alignment
285,Reliability and controllability (or “alignment”) research,"Improving the consistency of an AI system in adhering to the specifications it was programmed to carry out and operating in accordance with the designer’s intentions, and decreasing its potential to behave in ways its user or developer does not want (e.g. producing offensive or biased responses, not refusing harmful requests, or employing harmful capabilities without prompting)",2.2 Model Alignment
286,Fine-Tuning Models,"Fine-tune models to reduce the tendency to produce harmful outputs. This may involve using reinforcement learning from human or AI-generated feedback regarding the appropriateness of different model outputs e.g. a constitutional based approach where human input to the fine-tuning process is provided by a list of principles. It may also involve fine-tuning models on curated datasets of appropriate responses to prompts. Where human feedback is used, the mental wellbeing of moderators may need to be considered.",2.2 Model Alignment
287,Harmful Data for Reduction of Dangerous Capabilities,"For some kinds of risks, explore options to use harmful data to reduce AI systems’ dangerous capabilities or to help develop mitigation tools. For example, by fine-tuning a system using labelled harmful content to refuse requests related to the harmful information.",2.2 Model Alignment
288,AI model-assisted oversight of AI systems,"AI model-assisted oversight can help monitor and supervise the training of increasingly capable GPAI systems, which may become difficult to oversee at scale by human supervisors during training or testing. Monitoring and supervision may become especially difficult in cases where increasingly advanced GPAIs perform near or above human level in some specialized domains, where supervision quality might fail to keep pace with capabilities improvement. The training signal may include labeled data, reward function, and user feedback on produced outputs. Currently, there are two broad approaches to provide scalable training signals to such systems: 1. Scalable oversight: Improving of the supervisor’s capabilities to supervise, such that they can provide accurate training signals quickly and at scale [31]. For example, a debate format can be used between two GPAI systems (two instances of the same GPAI, or similarly capable systems). A Human supervisor judges the debate, making it easier to assess correct responses in domains which might otherwise require significant time investment of domain specific expertise [102]. 2. Weak-to-strong generalization: Enhance the training signals while ensur- ing that the enhanced signal remains faithful to the intentions of the orig- inal human-provided signal [37]. For example, a hierarchical (“bootstrapping”) oversight approach can be implemented: A series of GPAI models with increasing capabilities are used, where each model in the hierarchy provides oversight for the next more capable model. The least capable model at the base of the hierarchy is the only one directly overseen by human supervisors, as it is easier to oversee than the more capable models.",2.2 Model Alignment
289,GPAI models explaining model outputs in a zero-sum debate game,"Debate is a technique that aims to produce reliable explanations of AI model outputs that are too complicated for humans to understand, by letting two GPAI models role-playing in a debate produce an explanation in a dialogue [102]. For example, an AI model may produce an output which is time-consuming for humans to verify as doing so may require going through extensive sources. Given such an output, the developer can use two natural language AI systems in an adversarial two-player setup to explain the output. These two natural language AI systems can be copies of the AI model that produced the output. In this setup, one AI system gives a short explanation of the output. The second AI system responds to this explanation with a counter-explanation or an argument why the first explanation was not correct. This continues for a fixed number of turns, with the two AI systems pointing out inconsistencies in each others’ explanations. After this sequence of statements, a human or an AI judge evaluates the ex- planations of both AI systems to determine which one is more convincing. The results of this debate can then be used for further training of the models via reinforcement learning, where outputs that are more truthful and convincing arguments and explanations are positively reinforced, while misleading or false outputs are negatively reinforced.",2.2 Model Alignment
290,Harmlessness training,"State-of-the-art reinforcement learning and fine-tuning techniques, such as Reinforcement Learning from Human Feedback (RLHF) or Direct Preference Optimization (DPO), to ensure models do not engage in unsafe behavior.",2.2 Model Alignment
291,Safety Analysis,"Helps understand the dependencies between components and the system that they are part of, in order to anticipate how component failures could lead to system-level hazards. This approach is used across safety- critical fields, e.g. to anticipate and prevent aircraft crashes or nuclear reactor core meltdowns",2.3 Model Safety Engineering
292,Safety of The Intended Function,"An approach that requires engineers to provide evidence that a system is safe when operating as intended. This approach is used in many engineering fields, such as in the construction and testing of road vehicles.",2.3 Model Safety Engineering
293,Hazardous Knowledge Unlearning,Has your organization removed hazardous knowledge from its flagship model via unlearning techniques before deployment?,2.3 Model Safety Engineering
294,Safety Mitigations,"Signatories commit to: (1) implementing technical safety mitigations along the entire model lifecycle that are proportionate to the systemic risks arising from the development, the making available on the market, and/or the use of GPAISRs, in order to reduce the systemic risks of such models to acceptable levels, and further reduce systemic risk as appropriate; and (2) ensuring that safety mitigations are proportionate and state-of-the-art.",2.3 Model Safety Engineering
295,Threat Modeling Process,Engage in threat modeling to anticipate potential risks from GAI systems,2.3 Model Safety Engineering
297,Statistical Bias Management,"Assess and manage statistical biases related to GAI content provenance through techniques such as re-sampling, re-weighting, or adversarial training.",2.3 Model Safety Engineering
298,Privacy-Enhancing Technologies,"Use techniques such as anonymization, differential privacy or other privacy-enhancing technologies to minimize the risks associated with linking AI-generated content back to individual human subjects.",2.3 Model Safety Engineering
299,Inappropriate Query Handling,"Verify that systems properly handle queries that may give rise to inappropriate, malicious, or illegal usage, including facilitating manipulation, extortion, targeted impersonation, cyber-attacks, and weapons creation.",2.3 Model Safety Engineering
300,User Satisfaction Survey,Conduct user surveys to gather user satisfaction with the AI-generated content and user perceptions of content authenticity. Analyze user feedback to identify concerns and/or current literacy levels related to content provenance and understanding of labels on content.,2.3 Model Safety Engineering
301,ML Explanation Application,"Apply and document ML explanation results such as: Analysis of embeddings, Counterfactual prompts, Gradient-based attributions, Model compression/surrogate models, Occlusion/term reduction.",2.3 Model Safety Engineering
302,Information Security; Harmful Bias and Homogenization,"Evaluate GAI content and data for representational biases and employ techniques such as re-sampling, re-ranking, or adversarial training to mitigate biases in the generated content. (AI Deployment, AI Impact Assessment, Governance and Oversight, Operation and Monitoring).",2.3 Model Safety Engineering
303,Robustness Research,Improving the resilience of AI systems e.g. against attacks intended to disrupt their proper functioning,2.3 Model Safety Engineering
304,Bias and discrimination Research,Improving our ability to address bias and discrimination in AI systems,2.3 Model Safety Engineering
305,Research into other Societal Harms,"Improving our ability to prevent other societal harms arising from the use of AI systems, including psychological harm, misinformation, and other societal harms.",2.3 Model Safety Engineering
306,Built-in Tools for Harm Mitigation,"When a probable and consequential harm from a frontier AI organisation’s system is identified, investigate whether there are tools that can be built to mitigate this harm. For instance, recognizing the rise in AI-generated child exploitation and abuse content, some social media platforms are developing tools for identifying and removing child sexual abuse content.",2.3 Model Safety Engineering
307,Content Filters,Apply content filters to both model inputs and model outputs. The input filters can block harmful requests (e.g. requests for advice on building weapons) from being processed by the model. Content modifiers could adjust harmful prompts to elicit non-harmful responses. The output filters can block harmful model outputs (e.g. instructions on building weapons) from being sent back to the user.,2.3 Model Safety Engineering
308,Robust Content Filters,"Invest in making content filters robust to “jailbreaking” attempts. Work to ensure filters are robust to jailbreaking attempts, for instance by including examples of jailbreaking attempts in the datasets used to develop filters.",2.3 Model Safety Engineering
309,Model Prompting,"Prompt models to avoid harmful behaviour. This may involve, for instance, using a “meta prompt” to instruct a model that it should ignore requests to cause harm. Alternatively, prompt distillation or other methods can be used to fine-tune their models to behave as though they have received particular prompts.",2.3 Model Safety Engineering
310,Rejection Sampling,"Consider also applying “rejection sampling” methods to model outputs. These methods involve generating several outputs, scoring them on their harmfulness, and then only presenting the least harmful outputs to the user.",2.3 Model Safety Engineering
